Time (s),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Absolute (rad/s),activity,Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2)
0.389641774,0.2565953732,0.279099077,0.01478053257,0.3794152665,rotation,,,,
0.392133336,0.2363553643,0.2673811615,0.02010685205,0.3574364688,rotation,,,,
0.394741774,0.2107890397,0.2545980215,0.02543316968,0.3315102079,rotation,,,,
0.397194274,0.1873532385,0.242880106,0.0307594873,0.3082825456,rotation,,,,
0.399646774,0.162852183,0.2332927436,0.03608580679,0.2867900332,rotation,,,,
0.402099274,0.1394163817,0.2258358896,0.03608580679,0.2678450335,rotation,,,,
0.404594899,0.1129179448,0.2194443047,0.0392815955,0.2498985972,rotation,,,,
0.407036461,0.09054741263,0.2119874656,0.04141212255,0.2342060704,rotation,,,,
0.409532138,0.07137266546,0.2045306265,0.04141212255,0.2205488573,rotation,,,,
0.412027711,0.05006739125,0.200269565,0.04673844203,0.2116580362,rotation,,,,
0.414523388,0.02769685537,0.1938779801,0.04673844203,0.2013461421,rotation,,,,
0.416979951,0.01384842768,0.1885516644,0.04886896908,0.1952733602,rotation,,,,
0.419474638,-0.0,0.1842906028,0.05099949613,0.1912170884,rotation,,,,
0.421969326,-0.0117178997,0.1810948253,0.05313002318,0.1890911005,rotation,,,,
0.424463961,-0.02237053588,0.1736379713,0.05739107728,0.1842398483,rotation,,,,
0.426958649,-0.02769685537,0.1597895473,0.06484792382,0.1746570023,rotation,,,,
0.429453336,-0.02130527236,0.1278316379,0.08082687855,0.152734497,rotation,,,,
0.431948024,-0.0,0.08522108942,0.1042626798,0.1346600924,rotation,,,,
0.434442659,0.03302317113,0.0351537019,0.1351553202,0.143503565,rotation,,,,
0.436992659,0.07350318879,-0.01491369121,0.1745700836,0.189999608,rotation,,,,
0.439493388,0.1086568907,-0.06804371625,0.2161153555,0.2512809465,rotation,,,,
0.442092659,0.1479384899,-0.1159805804,0.2651174963,0.3249993518,rotation,,,,
0.444642659,0.1852227151,-0.1575258672,0.3077280223,0.392196875,rotation,,,,
0.447177711,0.2150501013,-0.1852227151,0.3535343707,0.4533658032,rotation,,,,
0.44967844,0.2331595868,-0.1980058849,0.3854922652,0.492111786,rotation,,,,
0.452179169,0.2384859025,-0.1969406158,0.4078628123,0.5118722551,rotation,,,,
0.454679899,0.2320943177,-0.1862879843,0.4238417745,0.5178926869,rotation,,,,
0.457132399,0.2235722095,-0.1735048145,0.4323638678,0.5167465217,rotation,,,,
0.459631044,0.2075932473,-0.1671132296,0.4291680753,0.5051801903,rotation,,,,
0.462095107,0.1905490309,-0.1639174372,0.4291680753,0.4973561061,rotation,,,,
0.464593701,0.1735048145,-0.1660479754,0.4291680753,0.4917937451,rotation,,,,
0.467092399,0.1607216448,-0.1798963994,0.4259723127,0.4895371005,rotation,,,,
0.469590992,0.1447426975,-0.2022669315,0.4270375669,0.4941896838,rotation,,,,
0.472089638,0.126633212,-0.2257027328,0.4259723127,0.4984276328,rotation,,,,
0.474588336,0.1150484756,-0.2502037883,0.4281028211,0.5090285973,rotation,,,,
0.477040836,0.09480846673,-0.2725743353,0.4259723127,0.514526797,rotation,,,,
0.479493336,0.07243792713,-0.2906838059,0.4249070287,0.5198945194,rotation,,,,
0.481945836,0.0479368642,-0.3024017215,0.4174501896,0.5176962477,rotation,,,,
0.484398336,0.02663159184,-0.3087933064,0.4078628123,0.5122642105,rotation,,,,
0.486850836,0.00319579104,-0.3087933064,0.398275435,0.5039710718,rotation,,,,
0.489349482,-0.02024000883,-0.3024017215,0.3876228034,0.4920446086,rotation,,,,
0.491755836,-0.039414756,-0.2928143442,0.3769701719,0.4789574863,rotation,,,,
0.494208336,-0.05752423778,-0.2832269669,0.363121748,0.4640947711,rotation,,,,
0.496660836,-0.06924213469,-0.2725743353,0.3545996249,0.4525838436,rotation,,,,
0.499113336,-0.07669898123,-0.2587259114,0.3439469934,0.4371742961,rotation,,,,
0.501565836,-0.07776424289,-0.2459427416,0.334359616,0.4222931002,rotation,,,,
0.504056513,-0.0830905661,-0.2299637944,0.3237069845,0.4056767195,rotation,,,,
0.506470836,-0.0830905661,-0.2107890397,0.3141196072,0.3873076156,rotation,,,,
0.508923336,-0.07669898123,-0.1894837767,0.3024017215,0.3650118306,rotation,,,,
0.511389117,-0.06817687303,-0.1660479754,0.2960101366,0.3461820578,rotation,,,,
0.513879847,-0.05965476483,-0.1394163817,0.2864227593,0.3240889006,rotation,,,,
0.516370524,-0.05113265663,-0.1106542572,0.2800311744,0.305411807,rotation,,,,
0.518979847,-0.03408843651,-0.07869634777,0.2747048736,0.2877810004,rotation,,,,
0.521529847,-0.01810948178,-0.04993423447,0.2651174963,0.2703861459,rotation,,,,
0.524079847,-0.002130527282,-0.02130527236,0.2576606572,0.258548773,rotation,,,,
0.526629847,0.01384842768,0.005326318089,0.2544648647,0.2548970694,rotation,,,,
0.529120524,0.03195790946,0.03195790946,0.2448774725,0.2490132376,rotation,,,,
0.531729847,0.05113265663,0.06072002649,0.2299637944,0.2432792981,rotation,,,,
0.534279847,0.06924213469,0.0830905661,0.2235722095,0.248360722,rotation,,,,
0.536732347,0.08948214352,0.1086568907,0.2150501013,0.2570212442,rotation,,,,
0.539223232,0.1054610983,0.1331579536,0.2012016773,0.2633157778,rotation,,,,
0.541637347,0.1181111038,0.1661811322,0.1905490309,0.279061525,rotation,,,,
0.544089847,0.1001347825,0.2471411675,0.1745700836,0.3187168735,rotation,,,,
0.546542347,0.05113265663,0.3515369892,0.1436774284,0.3831918668,rotation,,,,
0.548994847,0.006391582079,0.3909517527,0.1202416345,0.4090747803,rotation,,,,
0.551485732,-0.02769685537,0.3888212144,0.09574057162,0.401391716,rotation,,,,
0.553899847,-0.04580633715,0.3824296594,0.07337003201,0.3920890543,rotation,,,,
0.556352347,-0.04900212586,0.3579285741,0.06058686972,0.3663124913,rotation,,,,
0.558804847,-0.04580633715,0.3121222556,0.04673844203,0.3189090856,rotation,,,,
0.561295784,-0.0351537019,0.2577938139,0.0350205414,0.2625259446,rotation,,,,
0.563714274,-0.02130527236,0.2034653574,0.0307594873,0.2068772882,rotation,,,,
0.566205211,-0.01065263618,0.1565937549,0.02756369673,0.1593575857,rotation,,,,
0.568696201,-0.01065263618,0.1097221524,0.0222373791,0.1124585719,rotation,,,,
0.571187086,-0.02556632832,0.06285055727,0.00732368743,0.06824563056,rotation,,,,
0.573678024,-0.06498108059,0.004261054564,-0.01611211337,0.0670842576,rotation,,,,
0.576179742,-0.128896907,-0.05526055023,-0.04274370521,0.1466122961,rotation,,,,
