"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.478174530E-1,1.317870331E1,-5.946412086E-1,8.673625946E0,1.578808431E1
5.527781830E-1,1.448038769E1,-3.431055546E-1,8.533760071E0,1.681143688E1
5.577622450E-1,1.540287590E1,9.984445572E-2,8.273205757E0,1.748440701E1
5.627463080E-1,1.591074276E1,6.312129498E-1,7.905249596E0,1.777760209E1
5.677303700E-1,1.601640701E1,1.017441988E0,7.448822975E0,1.769309033E1
5.727487560E-1,1.574684906E1,1.343827724E0,7.044210434E0,1.730289077E1
5.777345370E-1,1.531229591E1,1.597955704E0,6.873561859E0,1.686018153E1
5.827203180E-1,1.470380020E1,1.776871204E0,6.793063164E0,1.629431554E1
5.877061510E-1,1.395017433E1,1.881494999E0,6.776026726E0,1.562248141E1
5.926583390E-1,1.311519623E1,1.897965431E0,6.921629906E0,1.495057208E1
5.976424530E-1,1.228004837E1,1.961380959E0,7.239693642E0,1.438957148E1
6.026265160E-1,1.161840630E1,1.999409199E0,7.643251419E0,1.405006385E1
6.076106310E-1,1.110831070E1,1.935937405E0,8.024162292E0,1.383942198E1
6.126044850E-1,1.068309402E1,1.709591150E0,8.355371475E0,1.366980001E1
6.175890680E-1,1.025258064E1,1.524220705E0,8.574039459E0,1.345187018E1
6.225736510E-1,1.001029778E1,1.451645136E0,8.818801880E0,1.341956042E1
6.275582350E-1,1.021328926E1,1.645546675E0,9.102755547E0,1.377966835E1
6.325699010E-1,1.071133327E1,2.397702694E0,8.802646637E0,1.407011821E1
6.375558390E-1,1.267805004E1,4.905892849E0,5.996244907E0,1.485784946E1
6.425417760E-1,1.757606125E1,7.838235855E0,1.125700951E0,1.927752767E1
6.475277660E-1,2.100414276E1,8.365718842E0,-3.802254200E0,2.292632552E1
6.524818810E-1,2.200724411E1,7.023478508E0,-7.952259064E0,2.443126006E1
6.574662560E-1,2.102846527E1,5.196258545E0,-1.063750076E1,2.413200939E1
6.624506830E-1,1.720950699E1,2.742958784E0,-1.206847954E1,2.119762138E1
6.674350580E-1,1.260962009E1,1.376801729E0,-1.226963043E1,1.764771750E1
6.724308390E-1,7.074996948E0,5.439507961E-1,-1.148531723E1,1.350051763E1
6.774157870E-1,1.451274872E0,-2.218837738E-1,-1.057011795E1,1.067158960E1
6.824007350E-1,-3.870821953E0,-8.238573074E-1,-7.520906448E0,8.498590310E0
6.873856830E-1,-5.252768993E0,8.772711754E-1,-4.508243561E0,6.977495741E0
6.923741720E-1,-7.040619850E0,1.059706926E0,-4.968418598E0,8.682078669E0
6.973592760E-1,-5.188627720E0,1.968666911E0,-1.379275322E0,5.718383289E0
7.023444330E-1,-2.545751095E0,1.891120076E0,-1.008113861E0,3.327683479E0
7.073295890E-1,1.630897522E-1,1.602377892E0,-4.304420948E-1,1.667181325E0
7.123270890E-1,1.966447830E0,3.607525826E-1,7.183623314E-1,2.124406725E0
7.173128180E-1,2.532644272E0,-9.823982716E-1,2.179356575E0,3.482669731E0
7.222985470E-1,2.078402519E0,-2.256160975E0,4.042216301E0,5.074399669E0
