"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
4.794933360E-1,7.243792713E-2,-2.906838059E-1,4.249070287E-1,5.198945194E-1
4.819458360E-1,4.793686420E-2,-3.024017215E-1,4.174501896E-1,5.176962477E-1
4.843983360E-1,2.663159184E-2,-3.087933064E-1,4.078628123E-1,5.122642105E-1
4.868508360E-1,3.195791040E-3,-3.087933064E-1,3.982754350E-1,5.039710718E-1
4.893494820E-1,-2.024000883E-2,-3.024017215E-1,3.876228034E-1,4.920446086E-1
4.917558360E-1,-3.941475600E-2,-2.928143442E-1,3.769701719E-1,4.789574863E-1
4.942083360E-1,-5.752423778E-2,-2.832269669E-1,3.631217480E-1,4.640947711E-1
4.966608360E-1,-6.924213469E-2,-2.725743353E-1,3.545996249E-1,4.525838436E-1
4.991133360E-1,-7.669898123E-2,-2.587259114E-1,3.439469934E-1,4.371742961E-1
5.015658360E-1,-7.776424289E-2,-2.459427416E-1,3.343596160E-1,4.222931002E-1
5.040565130E-1,-8.309056610E-2,-2.299637944E-1,3.237069845E-1,4.056767195E-1
5.064708360E-1,-8.309056610E-2,-2.107890397E-1,3.141196072E-1,3.873076156E-1
5.089233360E-1,-7.669898123E-2,-1.894837767E-1,3.024017215E-1,3.650118306E-1
5.113891170E-1,-6.817687303E-2,-1.660479754E-1,2.960101366E-1,3.461820578E-1
5.138798470E-1,-5.965476483E-2,-1.394163817E-1,2.864227593E-1,3.240889006E-1
5.163705240E-1,-5.113265663E-2,-1.106542572E-1,2.800311744E-1,3.054118070E-1
5.189798470E-1,-3.408843651E-2,-7.869634777E-2,2.747048736E-1,2.877810004E-1
5.215298470E-1,-1.810948178E-2,-4.993423447E-2,2.651174963E-1,2.703861459E-1
5.240798470E-1,-2.130527282E-3,-2.130527236E-2,2.576606572E-1,2.585487730E-1
5.266298470E-1,1.384842768E-2,5.326318089E-3,2.544648647E-1,2.548970694E-1
