"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.292973542E0,-3.269892335E-1,-5.937419534E-1,1.725907445E0
1.302983542E0,-3.996884227E-1,-6.755540371E-1,1.818350077E0
1.312994542E0,-4.410057664E-1,-7.510525584E-1,1.971016407E0
1.323004542E0,-4.418081045E-1,-8.247600794E-1,2.171118736E0
1.333014542E0,-3.979229331E-1,-9.102829695E-1,2.418095827E0
1.343025542E0,-3.038111925E-1,-1.027630687E0,2.691498995E0
1.353035542E0,-1.616005152E-1,-1.229867101E0,3.003341436E0
1.363045542E0,3.541127592E-2,-1.558100462E0,3.308589458E0
1.373056542E0,2.841276228E-1,-1.945499063E0,3.501715422E0
1.383066542E0,5.836929679E-1,-2.312808752E0,3.566686869E0
1.393076542E0,8.975036144E-1,-2.564549685E0,3.510893106E0
1.403087542E0,1.139074445E0,-2.696650505E0,3.355483294E0
1.413097542E0,1.243034959E0,-2.720323563E0,3.166992426E0
1.423107542E0,1.180845737E0,-2.636631966E0,3.024507284E0
1.433118542E0,9.401395917E-1,-2.469693661E0,2.960338593E0
1.443128542E0,5.242118239E-1,-2.237300158E0,2.958926916E0
1.453138542E0,-2.038221620E-2,-1.925899506E0,2.997556925E0
1.463149542E0,-6.442041397E-1,-1.556859851E0,3.043837547E0
1.473159542E0,-1.288420677E0,-1.119227290E0,3.075387716E0
1.483169542E0,-1.927388430E0,-6.294792295E-1,3.090126514E0
1.493180542E0,-2.502533197E0,-1.117526889E-1,3.087204933E0
1.503190542E0,-2.989060640E0,3.979765773E-1,3.078303099E0
1.513200542E0,-3.369551420E0,8.561511040E-1,3.062289953E0
1.523211542E0,-3.626881838E0,1.264565706E0,3.031608105E0
1.533221542E0,-3.765568256E0,1.605692148E0,2.966790915E0
1.543231542E0,-3.788050413E0,1.848801494E0,2.846555233E0
1.553242542E0,-3.704498768E0,1.992089391E0,2.667078018E0
1.563252542E0,-3.529964447E0,2.045113325E0,2.456125975E0
1.573263542E0,-3.285574913E0,1.994079947E0,2.248704195E0
1.583273542E0,-2.979587793E0,1.903536439E0,2.058140755E0
1.593283542E0,-2.638309002E0,1.730267644E0,1.887513638E0
1.603294542E0,-2.295171022E0,1.494973063E0,1.717897058E0
1.613304542E0,-1.953143120E0,1.249191761E0,1.529025674E0
1.623314542E0,-1.609970331E0,1.018386126E0,1.335302591E0
1.633325542E0,-1.258528352E0,8.233876824E-1,1.151219368E0
1.643335542E0,-9.114823937E-1,6.590459347E-1,9.594522715E-1
1.653345542E0,-5.750495195E-1,5.319945216E-1,7.492468953E-1
