"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
8.624522917E-1,1.601104856E0,-2.042174578E0,7.840281129E-1,2.710851129E0
8.724342917E-1,1.786108017E0,-2.328655005E0,9.695546031E-1,3.090768854E0
8.824162917E-1,2.020528555E0,-2.591294289E0,1.151747465E0,3.481933939E0
8.923982917E-1,2.241403103E0,-2.792649269E0,1.262219429E0,3.796837592E0
9.023802917E-1,2.437947989E0,-3.090277672E0,1.290539384E0,4.142330067E0
9.123622917E-1,2.611933947E0,-3.442798853E0,1.247864127E0,4.498024874E0
9.223442917E-1,2.786185026E0,-3.853950739E0,1.138659120E0,4.890021256E0
9.323262917E-1,2.930479288E0,-4.364125252E0,1.003156662E0,5.351599888E0
9.423082917E-1,2.963754654E0,-4.768136501E0,9.327632189E-1,5.691134735E0
9.522902917E-1,2.802235126E0,-4.904161453E0,9.998232126E-1,5.736110853E0
9.622722917E-1,2.545849323E0,-4.661115170E0,1.169963956E0,5.438396736E0
9.722542917E-1,2.377203465E0,-4.114232063E0,1.245800972E0,4.912231860E0
9.822362917E-1,2.347991228E0,-3.544955254E0,1.167974114E0,4.409527649E0
9.922182917E-1,2.413879395E0,-3.130084038E0,9.274593592E-1,4.060101067E0
1.002200292E0,2.533061981E0,-2.853846550E0,6.579871178E-1,3.872181579E0
1.012182292E0,2.654975653E0,-2.682862282E0,4.814299345E-1,3.805051974E0
1.022164292E0,2.741729975E0,-2.565475464E0,4.653553963E-1,3.783556958E0
1.032146292E0,2.653026819E0,-2.406580448E0,5.900403261E-1,3.630196736E0
1.042128292E0,2.346112013E0,-2.100247622E0,7.085951567E-1,3.227597984E0
1.052110292E0,1.878617406E0,-1.689073205E0,8.393686414E-1,2.662087783E0
1.062092292E0,1.332727909E0,-1.190937281E0,1.029615760E0,2.062669120E0
1.072074292E0,8.015100956E-1,-6.448990107E-1,1.244150996E0,1.614380646E0
1.082056292E0,3.554129303E-1,-2.335145622E-1,1.440876722E0,1.502322579E0
1.092038292E0,1.449103095E-2,3.295281157E-2,1.539248824E0,1.539669711E0
1.102020292E0,-2.263216823E-1,1.578243077E-1,1.519633651E0,1.544479345E0
1.112002292E0,-3.892967403E-1,7.899421453E-2,1.458302140E0,1.511435467E0
1.121984292E0,-5.197820067E-1,-1.670207232E-1,1.419174433E0,1.520567436E0
1.131966292E0,-6.490542889E-1,-4.904102385E-1,1.422487378E0,1.638671417E0
1.141948292E0,-7.794067264E-1,-8.389718533E-1,1.500583649E0,1.887617520E0
1.151930292E0,-9.058054090E-1,-1.148167014E0,1.650632620E0,2.205302468E0
1.161912292E0,-1.041282654E0,-1.420113921E0,1.841872215E0,2.548232009E0
1.171894292E0,-1.199739695E0,-1.659429312E0,2.037811756E0,2.888902513E0
1.181876292E0,-1.393005371E0,-1.859561086E0,2.164821625E0,3.175670648E0
1.191858292E0,-1.538802266E0,-2.030508995E0,2.179730415E0,3.352924675E0
1.201840292E0,-1.587899446E0,-2.181580067E0,2.089499950E0,3.412730034E0
1.211822292E0,-1.543180704E0,-2.278286695E0,1.916727424E0,3.353481917E0
1.221804292E0,-1.436290264E0,-2.248996735E0,1.695441723E0,3.161556368E0
1.231786292E0,-1.322698116E0,-2.120143414E0,1.466101170E0,2.897238520E0
1.241768292E0,-1.218712568E0,-1.931355119E0,1.257155776E0,2.606881962E0
1.251750292E0,-1.112955332E0,-1.723265052E0,1.080096006E0,2.318387240E0
1.261732292E0,-9.991455674E-1,-1.544409037E0,9.579371214E-1,2.073917710E0
1.271714292E0,-8.274422288E-1,-1.418028474E0,8.946252465E-1,1.869711134E0
1.281696292E0,-6.093028784E-1,-1.346311092E0,8.525091410E-1,1.706040853E0
1.291678292E0,-3.962824345E-1,-1.391469240E0,8.136107326E-1,1.659876152E0
1.301660292E0,-2.472041994E-1,-1.585394025E0,8.236427307E-1,1.803599589E0
