"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.150077780E-1,-2.973066807E0,1.684563160E-1,-1.545171738E-1,2.981841600E0
6.197784550E-1,-2.905795813E0,-5.209624767E-1,8.945178986E-2,2.953481476E0
6.245500170E-1,-2.587478876E0,-1.121992469E0,3.133831024E-1,2.837626297E0
6.293222570E-1,-2.234215736E0,-1.443288922E0,6.978945732E-1,2.749883580E0
6.340937150E-1,-1.888592124E0,-1.492683172E0,1.303156853E0,2.737352927E0
6.388643920E-1,-1.642819524E0,-1.441984892E0,1.977374554E0,2.947572992E0
6.436359550E-1,-1.512601852E0,-1.406495810E0,2.474618435E0,3.223341624E0
6.484081940E-1,-1.468840361E0,-1.443291187E0,2.828646660E0,3.498831717E0
6.531796530E-1,-1.455341578E0,-1.501860142E0,2.973495007E0,3.635282045E0
6.579503300E-1,-1.424475431E0,-1.505812883E0,2.974776268E0,3.625727036E0
6.627218920E-1,-1.402410746E0,-1.460149050E0,2.921249390E0,3.554221313E0
6.674941320E-1,-1.426968098E0,-1.346084952E0,2.832074165E0,3.445116359E0
6.722655900E-1,-1.410128117E0,-1.104667544E0,2.728887081E0,3.264288037E0
6.770362670E-1,-1.245401382E0,-7.153636217E-1,2.590340137E0,2.961862884E0
6.818078300E-1,-9.287409782E-1,-1.645629406E-1,2.549314976E0,2.718206690E0
6.865800690E-1,-5.785837173E-1,3.735518456E-1,2.610953808E0,2.700255522E0
6.913515280E-1,-3.334655762E-1,8.191516399E-1,2.684702873E0,2.826630188E0
6.961222050E-1,-1.769289970E-1,1.261809349E0,2.749701023E0,3.030564703E0
7.008937670E-1,-1.580767632E-1,1.640449047E0,2.695803165E0,3.159654419E0
7.056660070E-1,-2.042293549E-3,2.181064606E0,2.812982559E0,3.559482808E0
7.104374650E-1,1.424360275E-1,2.489651203E0,3.430879593E0,4.241413198E0
7.152081420E-1,-9.856510162E-2,2.147268772E0,3.799856663E0,4.365706004E0
7.199797050E-1,-3.517556190E-1,1.658194780E0,3.987608910E0,4.332939737E0
7.247519440E-1,-7.073707581E-1,1.038322687E0,3.711352825E0,3.918242870E0
7.295233510E-1,-9.471945763E-1,5.723938942E-1,2.691407204E0,2.910066163E0
7.342940800E-1,-1.143459320E0,2.623233795E-1,1.743051529E0,2.101081009E0
7.390656420E-1,-1.336054802E0,1.545743942E-1,1.342647552E0,1.900431037E0
7.438378820E-1,-1.292089462E0,4.190834761E-1,1.236641407E0,1.836956207E0
7.486092880E-1,-1.726132393E0,2.216013670E-1,1.089424133E0,2.053164666E0
7.533800170E-1,-2.107545853E0,2.377891541E-2,8.900742531E-1,2.287913271E0
7.581515800E-1,-2.423517942E0,-3.277386427E-1,7.167181969E-1,2.548438112E0
7.629238190E-1,-2.549558401E0,-6.387214661E-1,5.686287880E-1,2.689154486E0
7.676952260E-1,-2.432664156E0,-6.801426411E-1,2.562341690E-1,2.538918049E0
7.724659550E-1,-2.328095436E0,-7.124777436E-1,1.133375168E-1,2.437313744E0
7.772375170E-1,-2.384034634E0,-8.304005861E-1,3.306913376E-2,2.524733617E0
7.820097570E-1,-2.463202715E0,-7.875205278E-1,1.223278046E-2,2.586059906E0
7.867811630E-1,-2.382102251E0,-5.328689218E-1,-5.929470062E-2,2.441695371E0
7.915518920E-1,-2.295221806E0,-1.415200233E-1,-1.658120155E-1,2.305550841E0
7.963234550E-1,-2.279538155E0,1.601561308E-1,-1.897315979E-1,2.293020337E0
8.010956940E-1,-2.169932365E0,3.901321888E-1,-1.319212914E-1,2.208667658E0
8.058671010E-1,-2.071594715E0,4.517036676E-1,1.263880730E-1,2.124032677E0
8.106378300E-1,-1.935274124E0,3.910243511E-1,5.090889931E-1,2.038959926E0
8.154092880E-1,-1.782550812E0,1.919629574E-1,9.300541878E-1,2.019737103E0
8.201816320E-1,-1.551839828E0,-6.196963787E-2,1.296697617E0,2.023233006E0
8.249530380E-1,-1.270631313E0,-2.994160652E-1,1.565092564E0,2.038055114E0
8.297237670E-1,-9.883360863E-1,-5.562455058E-1,1.775446892E0,2.106757923E0
8.344952260E-1,-8.187556267E-1,-8.223626018E-1,1.941884995E0,2.262202103E0
8.392675690E-1,-7.941145897E-1,-1.089739680E0,2.092609406E0,2.489410508E0
8.440389760E-1,-9.084672928E-1,-1.355033636E0,2.172372818E0,2.716731977E0
8.488097050E-1,-9.727797508E-1,-1.560466766E0,2.185926914E0,2.856507211E0
8.535811630E-1,-1.020647526E0,-1.703532100E0,2.133488178E0,2.914706639E0
8.583535070E-1,-1.002301693E0,-1.746160269E0,1.986930370E0,2.828705829E0
8.631249130E-1,-9.277925491E-1,-1.714713931E0,1.780239105E0,2.640131465E0
8.678956420E-1,-8.047924042E-1,-1.637671709E0,1.552079201E0,2.395539456E0
8.726671010E-1,-7.047004700E-1,-1.060547590E0,1.792548656E0,2.198771163E0
8.774394440E-1,-6.561579704E-1,-1.461335421E0,1.854032040E0,2.450199849E0
8.822108510E-1,-2.333350182E-1,-1.348438978E0,1.386089325E0,1.947813268E0
8.869815800E-1,8.300018311E-2,-1.500439644E0,1.349141598E0,2.019502713E0
8.917530380E-1,4.272761345E-1,-1.625444412E0,1.383028030E0,2.176557136E0
8.965253820E-1,7.523746490E-1,-1.768716812E0,1.369668007E0,2.360173134E0
9.012967880E-1,1.163717270E0,-1.735106468E0,1.298879147E0,2.460064913E0
9.060675170E-1,1.473364830E0,-1.480700016E0,1.426958084E0,2.529720505E0
9.108389760E-1,1.494456291E0,-1.142560959E0,1.687009335E0,2.526825211E0
9.156113190E-1,1.374190331E0,-8.736034632E-1,1.903301239E0,2.504822884E0
9.203827260E-1,1.280102730E0,-7.449310422E-1,1.972964525E0,2.467017283E0
9.251534550E-1,1.338287354E0,-7.393628359E-1,1.984341621E0,2.505051320E0
9.299249130E-1,1.405073166E0,-8.183763623E-1,1.903868914E0,2.503734673E0
9.346972570E-1,1.392157555E0,-9.339318871E-1,1.784238577E0,2.448231755E0
9.394686630E-1,1.352142334E0,-1.033326626E0,1.642311811E0,2.365003360E0
9.442393920E-1,1.344398499E0,-1.080893636E0,1.476109982E0,2.270383019E0
9.490108510E-1,1.328166008E0,-9.413865805E-1,1.326127052E0,2.099725362E0
9.537831940E-1,1.327348709E0,-3.876003027E-1,1.584806681E0,2.103259567E0
9.585546010E-1,1.167612076E0,-7.360540032E-1,1.376476765E0,1.949302885E0
9.633253300E-1,1.323217392E0,-7.911387682E-1,8.546755314E-1,1.762746460E0
9.680967880E-1,1.341988564E0,-1.070715070E0,5.196509361E-1,1.793711560E0
9.728691320E-1,1.426713943E0,-1.316100597E0,2.474761009E-1,1.956751870E0
9.776405380E-1,1.581389427E0,-1.324878573E0,-1.349077225E-1,2.067437024E0
9.824112670E-1,1.850402832E0,-1.322284460E0,-4.778108597E-1,2.323947085E0
9.871827260E-1,2.101734161E0,-1.239424229E0,-7.801403999E-1,2.561655314E0
9.919550690E-1,2.311324120E0,-1.060358286E0,-9.600474834E-1,2.718137239E0
9.967264760E-1,2.486448288E0,-9.124002457E-1,-1.070194483E0,2.856609096E0
1.001497205E0,2.629619598E0,-7.863705158E-1,-1.175022602E0,2.985624882E0
1.006268663E0,2.645865440E0,-6.085724235E-1,-1.160580397E0,2.952610909E0
1.011041007E0,2.536030769E0,-4.817069769E-1,-1.078076124E0,2.797452735E0
1.015812413E0,2.396171570E0,-4.505580366E-1,-1.011611104E0,2.639696528E0
1.020583142E0,2.302609444E0,-5.073813200E-1,-1.029935598E0,2.572977534E0
1.025354601E0,2.297964096E0,-4.398388863E-1,-1.051435232E0,2.565075687E0
1.030126944E0,2.250856400E0,-3.080468774E-1,-6.950674057E-1,2.375787471E0
1.034898351E0,2.294647217E0,-9.031387568E-1,-8.622541428E-1,2.612383523E0
1.039669080E0,2.678820610E0,-8.450953960E-1,-1.094359040E0,3.014612379E0
1.044440538E0,2.682245255E0,-1.209110498E0,-8.238826990E-1,3.055351126E0
1.049212830E0,2.652222633E0,-1.630564690E0,-8.176069260E-1,3.218929510E0
1.053984288E0,2.877163887E0,-1.704483986E0,-7.901453972E-1,3.436228665E0
1.058755017E0,3.084443092E0,-1.625903726E0,-5.229151249E-1,3.525732880E0
1.063526476E0,3.138584137E0,-1.612366557E0,-1.226251125E-1,3.530647705E0
1.068298819E0,3.114333153E0,-1.684926867E0,1.666588783E-1,3.544830704E0
1.073070226E0,3.107515335E0,-1.821527004E0,3.690309525E-1,3.620883322E0
1.077840955E0,3.275465965E0,-1.912393332E0,5.893527269E-1,3.838393177E0
1.082612413E0,3.467416763E0,-1.981709003E0,7.863571644E-1,4.070443118E0
1.087384757E0,3.616734505E0,-2.041377783E0,9.736250639E-1,4.265669642E0
1.092156163E0,3.699995995E0,-2.107936859E0,1.176436782E0,4.417846949E0
1.096926892E0,3.812994957E0,-2.138267517E0,1.391440272E0,4.587725422E0
1.101698351E0,3.900932312E0,-2.172852278E0,1.600938320E0,4.743581287E0
1.106470694E0,3.947269440E0,-2.240065098E0,1.725928068E0,4.855682791E0
1.111242101E0,3.923645020E0,-2.296589375E0,1.792554498E0,4.886979090E0
1.116012830E0,3.873281479E0,-2.337583542E0,1.843627930E0,4.885240032E0
1.120784288E0,3.772503853E0,-1.791037321E0,2.259783745E0,4.748286278E0
1.125556632E0,3.559497833E0,-2.296610355E0,2.381958961E0,4.859853130E0
1.130328038E0,3.830335617E0,-2.226975918E0,1.922153950E0,4.829655110E0
1.135098767E0,3.665308952E0,-2.357999325E0,1.945126295E0,4.772647780E0
1.139870226E0,3.645538330E0,-2.202466726E0,2.029855728E0,4.718169526E0
1.144642569E0,3.948936462E0,-2.580746889E0,2.032411575E0,5.136638054E0
1.149413976E0,4.144890785E0,-3.229149103E0,1.979029775E0,5.614631101E0
1.154184705E0,4.398282051E0,-3.314929008E0,2.084272623E0,5.888788644E0
1.158956163E0,4.458612442E0,-3.557769775E0,2.118456841E0,6.084801564E0
1.163728507E0,4.657940865E0,-3.707229853E0,2.036137104E0,6.291726360E0
1.168499913E0,4.880999565E0,-3.793332100E0,2.139695168E0,6.541545734E0
1.173270642E0,4.853454590E0,-3.723498344E0,2.430037498E0,6.582214188E0
1.178042101E0,4.631197929E0,-3.531316280E0,2.665784836E0,6.405044709E0
1.182814392E0,4.284262657E0,-3.252389193E0,2.811826706E0,6.069539637E0
1.187585851E0,3.861029625E0,-3.007961988E0,3.092155218E0,5.789370344E0
1.192356580E0,3.469191551E0,-2.773683071E0,3.276751280E0,5.519574870E0
1.197128038E0,3.165787697E0,-2.547162771E0,3.349267721E0,5.265723520E0
1.201900382E0,2.947931290E0,-2.350103378E0,3.348502636E0,5.042395728E0
1.206671788E0,2.800768852E0,-2.092230082E0,3.382263422E0,4.864302492E0
1.211442517E0,2.671375275E0,-1.783696413E0,3.391077757E0,4.670891468E0
1.216213976E0,2.530958176E0,-1.489312172E0,3.400952339E0,4.493359194E0
1.220986267E0,2.400992393E0,-1.182818651E0,3.451924086E0,4.368020642E0
1.225757726E0,2.240879059E0,-9.238672256E-1,3.450447321E0,4.216711553E0
1.230528455E0,2.062675476E0,-6.525759697E-1,3.401226282E0,4.030983222E0
1.235299913E0,1.835440636E0,-4.381103516E-1,3.271043062E0,3.776308478E0
1.240072257E0,1.621436119E0,-2.156286240E-1,3.134385824E0,3.535523340E0
1.244843663E0,1.384884834E0,-1.652479172E-3,2.958391428E0,3.266494846E0
1.249614392E0,1.159300804E0,2.278640270E-1,2.746143579E0,2.989515835E0
1.254385851E0,9.208431244E-1,4.778072834E-1,2.565025330E0,2.766876723E0
1.259158194E0,7.148408890E-1,7.194828987E-1,2.355918884E0,2.564957490E0
1.263929601E0,5.339174271E-1,9.575610161E-1,2.148228884E0,2.411820527E0
1.268700330E0,3.896923065E-1,1.158343554E0,1.930930376E0,2.285194083E0
1.273471788E0,2.555360794E-1,1.326329470E0,1.690556049E0,2.163891935E0
1.278244080E0,1.645488739E-1,1.451778173E0,1.485374928E0,2.083524627E0
1.283015538E0,1.020050049E-1,1.563180685E0,1.304374456E0,2.038463048E0
1.287786267E0,5.569839478E-2,1.615079880E0,1.195542574E0,2.010200830E0
1.292557726E0,-5.542755127E-3,1.617184877E0,1.123191595E0,1.968978672E0
1.297330017E0,-3.158569336E-2,1.593657255E0,1.075442076E0,1.922840805E0
1.302101476E0,-6.544971466E-2,1.528047562E0,1.097360611E0,1.882395635E0
1.306872153E0,-4.977416992E-2,1.446953535E0,1.135946274E0,1.840251596E0
1.311643715E0,-5.137634277E-2,1.374608278E0,1.224310160E0,1.841500153E0
1.316416007E0,2.070331573E-2,1.292464256E0,1.281136274E0,1.819945778E0
1.321187413E0,9.258651733E-2,1.189325571E0,1.289851427E0,1.756924666E0
1.325958142E0,1.592693329E-1,1.178949594E0,1.484992743E0,1.902759131E0
1.330729601E0,2.587318420E-1,1.205494404E0,1.535372257E0,1.969143695E0
1.335501944E0,3.859758377E-1,1.204147339E0,1.507812262E0,1.967853139E0
1.340273351E0,4.763641357E-1,1.248633146E0,1.452144980E0,1.973507681E0
1.345044080E0,5.323991776E-1,1.336273909E0,1.379735827E0,1.993175305E0
1.349815538E0,5.541772842E-1,1.400071621E0,1.273763776E0,1.972254335E0
1.354587830E0,5.870103836E-1,1.456608295E0,1.086808920E0,1.909827884E0
1.359359288E0,6.115102768E-1,1.505645752E0,8.226485848E-1,1.821445756E0
1.364130017E0,6.180505753E-1,1.501899481E0,5.302700400E-1,1.708471504E0
1.368901476E0,5.970726013E-1,1.495741129E0,2.966327071E-1,1.637598296E0
1.373673819E0,5.868158340E-1,1.506399393E0,4.592037201E-2,1.617312782E0
1.378445226E0,5.634717941E-1,1.472065926E0,-1.117199659E-1,1.580177175E0
1.383215955E0,5.414924622E-1,1.421739578E0,-2.481273413E-1,1.541468356E0
1.387987413E0,5.115051270E-1,1.367691040E0,-3.040462732E-1,1.491529555E0
1.392759757E0,4.927062988E-1,1.300467014E0,-3.231864572E-1,1.427733672E0
1.397531163E0,4.399194717E-1,1.206088066E0,-3.275136352E-1,1.324931223E0
1.402301892E0,4.202346802E-1,1.127836943E0,-3.031572700E-1,1.241175929E0
1.407073351E0,4.027204514E-1,1.051668644E0,-2.671126723E-1,1.157384931E0
1.411845694E0,4.160823822E-1,9.800801277E-1,-2.005277872E-1,1.083463428E0
1.416617101E0,3.745565414E-1,9.181652069E-1,-1.444766521E-1,1.002094533E0
1.421387830E0,3.405141830E-1,8.756258488E-1,-8.499133587E-2,9.433419651E-1
1.426159288E0,2.783327103E-1,8.407649994E-1,-6.526005268E-2,8.880392763E-1
1.430931580E0,2.073631287E-1,8.448033333E-1,-4.012668133E-2,8.708055406E-1
1.435703038E0,1.921682358E-1,8.686444759E-1,-3.616082668E-2,8.903816383E-1
1.440473767E0,1.729307175E-1,9.360747337E-1,1.464843750E-3,9.519154826E-1
1.445245226E0,1.448602676E-1,1.011028290E0,3.255724907E-3,1.021358556E0
1.450017569E0,4.578971863E-2,1.159979343E0,-4.733943939E-2,1.161847580E0
1.454788976E0,-1.437854767E-2,1.299033642E0,-1.665956974E-1,1.309751607E0
1.459559705E0,-1.408872604E-1,1.420868397E0,-3.039673567E-1,1.459832996E0
1.464331163E0,-2.787513733E-1,1.565915585E0,-4.114944935E-1,1.642900382E0
1.469103455E0,-4.184026718E-1,1.726997137E0,-5.437996387E-1,1.858305130E0
1.473874913E0,-5.409030914E-1,1.880025387E0,-7.074754834E-1,2.080286800E0
1.478645642E0,-6.560535431E-1,2.012894154E0,-8.063657880E-1,2.265474544E0
1.483417101E0,-7.449431419E-1,2.135019541E0,-8.762064576E-1,2.425074531E0
1.488189444E0,-8.410534859E-1,2.217855930E0,-9.217932224E-1,2.544790490E0
1.492960851E0,-9.253778458E-1,2.280480146E0,-9.549975991E-1,2.639873912E0
1.497731580E0,-9.907441139E-1,2.327799082E0,-1.009417534E0,2.723810974E0
1.502503038E0,-1.022881508E0,2.364628077E0,-1.056488395E0,2.784586190E0
1.507275382E0,-1.064844608E0,2.374392271E0,-1.098353148E0,2.824537543E0
1.512046788E0,-1.095026016E0,2.426510572E0,-1.151933670E0,2.900687283E0
1.516817517E0,-1.149202347E0,2.437454700E0,-1.188468218E0,2.945217845E0
1.521588976E0,-1.198720932E0,2.452671528E0,-1.229233980E0,2.993918114E0
1.526361319E0,-1.269858360E0,2.474620104E0,-1.271513343E0,3.058272567E0
1.531132726E0,-1.321985245E0,2.491395473E0,-1.346161604E0,3.125195587E0
1.535903455E0,-1.333748341E0,2.488753080E0,-1.445417166E0,3.172066726E0
1.540674913E0,-1.307606697E0,2.481246471E0,-1.530838013E0,3.195290964E0
