"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.368870542E0,1.073687256E1,-2.409539337E0,9.759704590E-2
3.378881542E0,1.056922119E1,-2.313439178E0,5.598358154E-2
3.388891542E0,1.056009018E1,-2.416574707E0,3.457809448E-2
3.398901542E0,1.070453979E1,-2.803220673E0,-2.080673218E-2
3.408912542E0,1.082129700E1,-3.197500763E0,-6.197113037E-2
3.418922542E0,1.094449081E1,-3.369343414E0,-7.155120850E-2
3.428932542E0,1.099269058E1,-3.344944153E0,-6.301895142E-2
3.438943542E0,1.087787933E1,-3.212319946E0,-6.062393188E-2
3.448953542E0,1.062520477E1,-3.067421265E0,-1.601669312E-2
3.458964542E0,1.029229706E1,-2.895428925E0,5.568420410E-2
3.468974542E0,9.934241638E0,-2.580184479E0,2.718347168E-1
3.478984542E0,9.694589996E0,-2.134112091E0,7.423063660E-1
3.488995542E0,9.515262909E0,-1.704655151E0,1.430575104E0
3.499005542E0,9.329349518E0,-1.435365143E0,1.955832825E0
3.509015542E0,9.264384613E0,-1.449735260E0,2.054627380E0
3.519026542E0,9.298813019E0,-1.907333679E0,1.640887756E0
3.529036542E0,9.444310455E0,-2.590662689E0,9.639953613E-1
3.539046542E0,9.625583496E0,-3.192561035E0,3.709286499E-1
3.549057542E0,9.782606964E0,-3.558699646E0,-8.711883545E-2
3.559067542E0,9.987530823E0,-3.741918640E0,-4.135899353E-1
3.569078542E0,1.032178574E1,-3.906276855E0,-7.235952759E-1
3.579088542E0,1.070947952E1,-3.975133667E0,-1.038690033E0
3.589098542E0,1.099748062E1,-3.772604828E0,-1.346899109E0
3.599109542E0,1.120180573E1,-3.472179565E0,-1.539548492E0
3.609119542E0,1.128473328E1,-3.230282593E0,-1.540446625E0
3.619129542E0,1.110795090E1,-3.027304688E0,-1.325343933E0
3.629140542E0,1.063972458E1,-2.833607483E0,-8.839118958E-1
3.639150542E0,1.009051666E1,-2.753224640E0,-3.555107117E-1
3.649160542E0,9.502239990E0,-2.833308105E0,9.894424438E-2
3.659171542E0,8.893455963E0,-2.971620483E0,5.724096680E-1
3.669181542E0,8.388555908E0,-3.065774689E0,9.804611206E-1
3.679192542E0,7.954757996E0,-3.140319672E0,1.323397980E0
3.689202542E0,7.634124756E0,-3.188220062E0,1.561403046E0
3.699212542E0,7.476352844E0,-3.225342865E0,1.683998108E0
3.709223542E0,7.513026581E0,-3.322939911E0,1.698368225E0
3.719233542E0,7.718848572E0,-3.418740692E0,1.630259857E0
3.729243542E0,7.981402588E0,-3.483855286E0,1.528172150E0
