"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.149704850E0,2.737527466E1,-1.561429024E0,4.471699238E0,2.778200528E1
1.154476204E0,2.647567749E1,-3.356376171E0,3.524581432E0,2.691931340E1
1.159246777E0,2.532868767E1,-5.206928253E0,2.479500771E0,2.597695989E1
1.164018235E0,2.392423058E1,-6.881150246E0,1.545945168E0,2.494211266E1
1.168790423E0,2.223087692E1,-8.329829216E0,8.254616261E-1,2.375456441E1
1.173561777E0,2.037697792E1,-9.809450150E0,2.121059895E-1,2.261617851E1
1.178332350E0,1.845599747E1,-1.148217487E1,-4.370150566E-1,2.174063395E1
1.183103808E0,1.645808029E1,-1.324040031E1,-1.006059885E0,2.114683815E1
1.187875995E0,1.438062000E1,-1.489398193E1,-1.403462529E0,2.075096712E1
1.192647298E0,1.226847553E1,-1.634190941E1,-1.766842365E0,2.051085632E1
1.197417923E0,1.032159233E1,-1.777957916E1,-2.102478981E0,2.066565076E1
1.202189381E0,8.575148582E0,-1.916819572E1,-2.374895811E0,2.113274783E1
1.206961516E0,7.002565861E0,-2.054803658E1,-2.568509340E0,2.185989424E1
1.211732870E0,5.472836494E0,-2.189038849E1,-2.622630596E0,2.271605685E1
1.216503495E0,3.891757488E0,-2.306929398E1,-2.550638914E0,2.353388748E1
1.221274954E0,2.223020554E0,-2.405248451E1,-2.284539938E0,2.426278950E1
1.226047089E0,4.686551094E-1,-2.491269684E1,-1.782857180E0,2.498080625E1
1.230818443E0,-1.291073322E0,-2.574616241E1,-1.081834316E0,2.580120375E1
1.235589068E0,-3.171754599E0,-2.654380226E1,-2.291942835E-1,2.673361172E1
1.240360527E0,-5.093177319E0,-2.738953781E1,6.402894258E-1,2.786641719E1
1.245132662E0,-6.935247898E0,-2.831418228E1,1.368583441E0,2.918327607E1
1.249904016E0,-8.621672630E0,-2.947678185E1,1.926375508E0,3.077214373E1
1.254674641E0,-1.001963329E1,-3.083509445E1,1.332744956E0,3.244953482E1
1.259446100E0,-1.112391186E1,-3.250138855E1,8.389021158E-1,3.436255854E1
1.264218235E0,-1.166154099E1,-3.454701996E1,-2.666456699E-1,3.646312145E1
1.268989589E0,-1.177815151E1,-3.656210327E1,-1.390721083E0,3.843756436E1
1.273760214E0,-1.138852882E1,-3.836795807E1,-2.279793501E0,4.008735778E1
1.278531673E0,-1.080103588E1,-3.981322479E1,-2.896339893E0,4.135388772E1
1.283303808E0,-1.031616688E1,-4.087125015E1,-2.942553997E0,4.225566249E1
1.288075162E0,-9.706235886E0,-4.165164948E1,-2.466368675E0,4.283869622E1
1.292845787E0,-9.073404312E0,-4.198941803E1,-1.864549160E0,4.299900506E1
1.297617141E0,-8.237352371E0,-4.176077271E1,-1.526043892E0,4.259278015E1
1.302389381E0,-7.193675518E0,-4.114798737E1,-1.858897924E0,4.181341093E1
1.307160735E0,-6.026836395E0,-4.029271698E1,-2.908412457E0,4.084464055E1
1.311931360E0,-4.882729530E0,-3.946249390E1,-4.250857353E0,3.998998950E1
1.316702714E0,-4.093789577E0,-3.872043610E1,-5.465330601E0,3.931794912E1
1.321474954E0,-3.661002159E0,-3.804994965E1,-6.401657581E0,3.875800336E1
1.326246308E0,-3.487847805E0,-3.721723938E1,-7.041127205E0,3.803768476E1
1.331016933E0,-3.438133240E0,-3.607475281E1,-7.383411884E0,3.698274356E1
1.335788287E0,-3.457911491E0,-3.467763901E1,-7.165615082E0,3.557867112E1
1.340560527E0,-3.496397495E0,-3.326641846E1,-6.479402542E0,3.407142571E1
1.345331881E0,-3.338406086E0,-3.190887451E1,-5.471400738E0,3.254623563E1
1.350102454E0,-2.862430334E0,-3.066798019E1,-4.319971561E0,3.110274378E1
1.354873912E0,-1.997106552E0,-2.949487305E1,-3.187231541E0,2.973372522E1
1.359646100E0,-8.114271164E-1,-2.816049194E1,-2.266534328E0,2.826320750E1
1.364417402E0,6.408300400E-1,-2.658318710E1,-1.593157053E0,2.663859323E1
1.369188027E0,2.220161915E0,-2.479178238E1,-1.106623769E0,2.491558164E1
1.373959485E0,3.782531261E0,-2.293924141E1,-8.941414356E-1,2.326619496E1
1.378731673E0,5.114870071E0,-2.102772522E1,-9.825146198E-1,2.166315902E1
1.383502975E0,6.214196682E0,-1.905671692E1,-1.193258405E0,2.007980492E1
1.388273600E0,7.217966080E0,-1.701613808E1,-1.570266485E0,1.855030259E1
1.393045058E0,8.133940697E0,-1.491018295E1,-2.245818615E0,1.713237427E1
1.397817245E0,9.220333099E0,-1.284352303E1,-3.246325970E0,1.614029921E1
1.402588548E0,1.048634529E1,-1.086378479E1,-4.328348637E0,1.570731866E1
1.407359173E0,1.184092331E1,-8.861351013E0,-5.382346630E0,1.573850888E1
1.412130631E0,1.312863922E1,-6.736312389E0,-6.229810715E0,1.601716623E1
1.416902766E0,1.423952484E1,-4.586482048E0,-6.752896786E0,1.641345486E1
1.421674120E0,1.498698139E1,-2.596279144E0,-6.790497780E0,1.665716473E1
1.426444745E0,1.542551422E1,-9.862645864E-1,-6.625093937E0,1.681698774E1
1.431216204E0,1.553291607E1,2.294452190E-1,-6.494073868E0,1.683737278E1
1.435988391E0,1.526333904E1,1.120305419E0,-6.603069305E0,1.666808709E1
1.440759693E0,1.470270824E1,1.753230572E0,-7.077305317E0,1.641132833E1
1.445530318E0,1.387287140E1,2.157551289E0,-7.870399475E0,1.609517867E1
1.450301777E0,1.293704796E1,2.358063936E0,-8.925177574E0,1.589296920E1
1.455073912E0,1.207513809E1,2.480232477E0,-9.718747139E0,1.569759724E1
1.459845266E0,1.147344494E1,2.398796082E0,-9.993981361E0,1.540369517E1
1.464615891E0,1.144407749E1,1.978772640E0,-9.975150108E0,1.530967245E1
1.469387350E0,1.222936153E1,1.508495331E0,-9.925512314E0,1.582240931E1
1.474159485E0,1.389704895E1,1.311257839E0,-9.881992340E0,1.710266468E1
1.478930839E0,1.623280716E1,1.622557998E0,-9.225675583E0,1.874165982E1
1.483701464E0,1.911513519E1,2.438299656E0,-7.916442871E0,2.083275705E1
1.488472923E0,2.248443031E1,3.691885948E0,-6.179409504E0,2.360857323E1
1.493245058E0,2.623004150E1,5.351372242E0,-4.208882332E0,2.709920576E1
1.498016412E0,3.022848320E1,7.191292286E0,-2.037449837E0,3.113883561E1
1.502787037E0,3.414823532E1,9.130591393E0,2.708079815E-1,3.534887568E1
1.507558495E0,3.774428558E1,1.090125847E1,2.699188948E0,3.937961594E1
1.512330631E0,4.121084213E1,1.279483509E1,5.215822697E0,4.346545894E1
1.517101985E0,4.411430740E1,1.454594803E1,7.448676586E0,4.704401667E1
1.521872610E0,4.576140213E1,1.611950493E1,9.131529808E0,4.936931436E1
1.526644068E0,4.599959564E1,1.728375435E1,1.028918076E1,5.020516113E1
1.531416204E0,4.500374985E1,1.775425720E1,1.076054955E1,4.956148278E1
1.536187558E0,4.287171936E1,1.743015862E1,1.037615204E1,4.742846489E1
1.540958183E0,3.976813507E1,1.656897545E1,9.664121628E0,4.415235850E1
1.545729641E0,3.594509506E1,1.522545624E1,8.849344254E0,4.002718164E1
1.550501777E0,3.168676758E1,1.368106079E1,7.968902588E0,3.542211276E1
1.555273131E0,2.723712158E1,1.217354870E1,7.282079697E0,3.070968519E1
1.560043756E0,2.277381134E1,1.089223099E1,6.892455101E0,2.616855205E1
1.564815214E0,1.851847649E1,9.841706276E0,6.687018871E0,2.201157366E1
1.569587350E0,1.467041302E1,9.076411247E0,6.443201065E0,1.841513234E1
1.574358704E0,1.134521484E1,8.538064957E0,6.114565849E0,1.545963675E1
1.579129329E0,8.596549988E0,8.177230835E0,5.675458431E0,1.315213307E1
1.583900787E0,6.475683212E0,7.965029716E0,5.151260376E0,1.148527992E1
1.588672923E0,4.921379089E0,7.967298031E0,4.762923241E0,1.050634322E1
1.593444277E0,3.846169472E0,8.103098869E0,4.465686798E0,1.001975995E1
1.598214902E0,3.081933022E0,8.260351181E0,4.151120663E0,9.744922552E0
1.602986360E0,2.525530815E0,8.427424431E0,3.887802124E0,9.618461093E0
1.607758495E0,2.033581734E0,8.640360832E0,3.672515631E0,9.606178274E0
1.612529850E0,1.451171875E0,8.866313934E0,3.578110218E0,9.670589192E0
1.617300475E0,7.382621765E-1,8.975326538E0,3.717056036E0,9.742588110E0
1.622071933E0,-3.061103821E-2,8.970082283E0,4.024169922E0,9.831442252E0
1.626844068E0,-1.029613495E0,8.908678055E0,4.593517303E0,1.007596397E1
1.631615423E0,-2.215322018E0,8.773305893E0,5.253393650E0,1.046311105E1
1.636386048E0,-3.456197739E0,8.572761536E0,5.968447208E0,1.100272263E1
1.641157506E0,-4.711848736E0,8.344734192E0,6.665169239E0,1.167307107E1
